CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyWebsiteVisits
1,62,Male,East,Gold,82,8489.72,Electronics,20/8/2022,Manager,5
2,65,Male,North,Bronze,59,2601.64,Home Goods,27/7/2023,Teacher,7
3,18,Female,East,Bronze,68,7420.35,Home Goods,18/6/2022,Manager,10
4,21,Male,North,Gold,84,1481.71,Electronics,21/3/2023,Chef,11
5,21,Female,East,Bronze,83,9483.42,Electronics,10/1/2023,Teacher,14
6,57,Male,West,Gold,50,6265.2,Electronics,23/2/2022,Teacher,5
7,27,Male,West,Silver,2,2031.88,Home Goods,21/8/2023,Doctor,12
8,37,Female,South,Platinum,8,6520.1,Home Goods,11/12/2023,Lawyer,10
9,39,Female,West,Gold,9,6922.41,Home Goods,11/11/2022,Manager,5
10,68,Male,North,Gold,32,4930.04,Clothing,15/5/2023,Lawyer,6
11,54,Male,West,Silver,15,3689.72,Home Goods,20/11/2022,Engineer,10
12,41,Male,South,Gold,79,7133.48,Electronics,17/12/2023,Teacher,7
13,24,Male,North,Silver,21,1782.92,Home Goods,15/8/2022,Engineer,9
14,42,Male,North,Silver,19,3683.58,Clothing,10/6/2022,Manager,8
15,42,Male,East,Silver,36,2971.43,Electronics,14/4/2022,Doctor,7
16,30,Male,North,Gold,45,1495.29,Electronics,23/12/2023,Artist,3
17,19,Male,West,Silver,32,6721.46,Clothing,5/2/2023,Teacher,1
18,56,Male,East,Platinum,66,6695.53,Clothing,12/9/2023,Engineer,13
19,57,Male,South,Silver,91,8917.08,Clothing,23/2/2022,Lawyer,7
20,41,Female,East,Gold,25,3851.5,Home Goods,10/2/2023,Engineer,10
21,64,Male,South,Silver,39,957.39,Clothing,3/11/2022,Doctor,13
22,42,Female,South,Gold,42,3974.95,Clothing,1/9/2023,Teacher,5
23,35,Male,East,Platinum,96,4592.97,Home Goods,20/8/2022,Manager,14
24,55,Male,North,Gold,57,1409.38,Clothings,9/4/2023,Chef,8
25,43,Male,West,Gold,76,9205.06,Home Goods,9/1/2023,Artist,8
26,31,Female,South,Platinum,60,279.75,Electronics,2/10/2023,Doctor,7
27,26,Male,North,Platinum,36,3626.8,Electronics,28/7/2023,Lawyer,12
28,27,Male,South,Gold,76,3646.58,Electronics,31/5/2022,Doctor,11
29,38,Male,West,Bronze,48,9794.73,Home Goods,10/8/2022,Engineer,8
30,69,Female,South,Silver,50,2415.62,Electronics,10/1/2022,Chef,12
31,34,Male,South,Platinum,30,5860.54,Home Goods,5/5/2022,Doctor,7
32,69,Male,East,Gold,51,9218.23,Clothing,29/9/2022,Chef,11
33,23,Male,East,Silver,11,2854.59,Home Goods,26/7/2022,Chef,2
34,33,Female,South,Silver,43,5311.86,Clothing,14/5/2022,Teacher,11
35,65,Male,West,Bronze,27,7711.66,Electronics,6/3/2022,Manager,3
36,18,Male,East,Platinum,76,1983.18,Clothing,16/3/2023,Engineer,12
37,36,Female,East,Platinum,58,9774.09,Clothing,16/4/2022,Engineer,7
38,53,Male,South,Bronze,72,788.73,Clothing,23/7/2022,Teacher,2
39,42,Male,South,Bronze,97,5008.31,Home Goods,3/12/2023,Engineer,6
40,-9999,Male,West,Silver,92,6221.38,Home Goods,6/11/2023,Engineer,3
41,69,Female,East,Silver,8,2045.39,Electronics,23/2/2023,Artist,11
