"CustomerID";"Age";"Gender";"Location";"MembershipLevel";"TotalPurchases";"TotalSpent";"FavoriteCategory";"LastPurchaseDate";"Occupation";"FrequencyWebsiteVisits";"LoyaltyPoints";"EmailSubscribed";"AverageReviewRating";"Churn"
"1";"62";"Male";"East";"Gold";"82";"8489.72";"Electronics";"20/8/2022";"Manager";"5";"1687";"0";"4.5";"0"
"2";"65";"Male";"North";"Bronze";"59";"2601.64";"Home Goods";"27/7/2023";"Teacher";"7";"2500";"1";"4.9";"0"
"3";"18";"Female";"East";"Bronze";"68";"7420.35";"Home Goods";"18/6/2022";"Manager";"10";"4299";"0";"1.1";"1"
"4";"21";"Male";"North";"Gold";"84";"1481.71";"Electronics";"21/3/2023";"Chef";"11";"3973";"0";"2.6";"0"
"5";"21";"Female";"East";"Bronze";"83";"9483.42";"Electronics";"10/1/2023";"Teacher";"14";"4271";"0";"2";"0"
"6";"57";"Male";"West";"Gold";"50";"6265.2";"Electronics";"23/2/2022";"Teacher";"5";"1026";"0";"2";"0"
"7";"27";"Male";"West";"Silver";"2";"2031.88";"Home Goods";"21/8/2023";"Doctor";"12";"3029";"1";"2.9";"0"
"8";"37";"Female";"South";"Platinum";"8";"6520.1";"Home Goods";"11/12/2023";"Lawyer";"10";"4986";"1";"3.1";"1"
"9";"39";"Female";"West";"Gold";"9";"6922.41";"Home Goods";"11/11/2022";"Manager";"5";"3357";"1";"1.1";"0"
"10";"68";"Male";"North";"Gold";"32";"4930.04";"Clothing";"15/5/2023";"Lawyer";"6";"3040";"0";"3.2";"0"
"11";"54";"Male";"West";"Silver";"15";"3689.72";"Home Goods";"20/11/2022";"Engineer";"10";"1297";"0";"1.2";"1"
"12";"41";"Male";"South";"Gold";"79";"7133.48";"Electronics";"17/12/2023";"Teacher";"7";"305";"1";"1";"0"
"13";"24";"Male";"North";"Silver";"21";"1782.92";"Home Goods";"15/8/2022";"Engineer";"9";"4472";"1";"4.4";"1"
"14";"42";"Male";"North";"Silver";"19";"3683.58";"Clothing";"10/6/2022";"Manager";"8";"441";"1";"1.6";"0"
"15";"42";"Male";"East";"Silver";"36";"2971.43";"Electronics";"14/4/2022";"Doctor";"7";"3582";"0";"1.7";"0"
"16";"30";"Male";"North";"Gold";"45";"1495.29";"Electronics";"23/12/2023";"Artist";"3";"4942";"1";"1.5";"0"
"17";"19";"Male";"West";"Silver";"32";"6721.46";"Clothing";"5/2/2023";"Teacher";"1";"3297";"0";"5";"0"
"18";"56";"Male";"East";"Platinum";"66";"6695.53";"Clothing";"12/9/2023";"Engineer";"13";"4670";"1";"3.5";"1"
"19";"57";"Male";"South";"Silver";"91";"8917.08";"Clothing";"23/2/2022";"Lawyer";"7";"3797";"1";"2.5";"0"
"20";"41";"Female";"East";"Gold";"25";"3851.5";"Home Goods";"10/2/2023";"Engineer";"10";"4234";"1";"2.9";"0"
"21";"64";"Male";"South";"Silver";"39";"957.39";"Clothing";"3/11/2022";"Doctor";"13";"3228";"0";"2.2";"1"
"22";"42";"Female";"South";"Gold";"42";"3974.95";"Clothing";"1/9/2023";"Teacher";"5";"3238";"0";"3.7";"0"
"23";"35";"Male";"East";"Platinum";"96";"4592.97";"Home Goods";"20/8/2022";"Manager";"14";"1680";"1";"3.2";"0"
"24";"55";"Male";"North";"Gold";"57";"1409.38";"Clothing";"9/4/2023";"Chef";"8";"1192";"1";"3.5";"0"
"25";"43";"Male";"West";"Gold";"76";"9205.06";"Home Goods";"9/1/2023";"Artist";"8";"1420";"0";"2.8";"1"
"26";"31";"Female";"South";"Platinum";"60";"279.75";"Electronics";"2/10/2023";"Doctor";"7";"4674";"0";"2";"1"
